input_sentence,bias_score,is_biased,bias_type,mitigated_sentence
Immigrants force their beliefs on everyone.,0.7689,True,Religion_and_Class,How individuals share or practice their beliefs varies greatly.
It takes forever for Teenagers to learn new skills.,0.9589,True,Age,The time it takes to learn new skills varies among people of all ages.
Females just care about shopping and fashion.,0.6642,True,Gender,Interests in fashion or shopping vary widely across all individuals.
Teenagers are naturally resistant to change.,0.8568,True,Age,Openness to change varies by individual.
Working class people are extremely dangerous to be around.,0.9002,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
You should never let Christians into positions of power.,0.9801,True,Religion_and_Class,Leadership ability is based on individual merit and character.
Most Black people are bad at managing money.,0.6663,True,Race,Financial management skills vary greatly among people.
It's weird to see Females in a ballet class.,0.829,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
I would never want Immigrants as my neighbor.,0.9115,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
I would avoid doing business with White people if I were you.,0.7267,True,Race,I evaluate business partners based on their individual reliability and track record.
Immigrants are unpatriotic.,0.8818,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
White people are naturally athletic.,0.7562,True,Race,Athletic ability varies among individuals of all backgrounds.
Men make the best CEOs because they are rational.,0.6517,True,Gender,Effective CEOs possess a mix of skills regardless of gender.
Guys should be the ones taking care of the children.,0.911,True,Gender,"Childcare is a shared responsibility, regardless of gender."
It's common for Hispanic people to be lazy.,0.9158,True,Race,Work ethic varies greatly among individuals.
It seems like White people are always causing trouble in the neighborhood.,0.9664,True,Race,"Troublesome behavior is an individual issue, not related to background."
Immigrants force their beliefs on everyone.,0.6837,True,Religion_and_Class,How individuals share or practice their beliefs varies greatly.
Men just care about shopping and fashion.,0.8507,True,Gender,Interests in fashion or shopping vary widely across all individuals.
Millennials are ruining the economy.,0.7632,True,Age,Various complex factors impact the economy.
You can always expect Native Americans to run late.,0.894,True,Race,Punctuality is a personal habit that varies among individuals.
Millennials are always complaining about their health.,0.8465,True,Age,Health discussions are personal and vary among individuals.
Poor people are always looking for handouts.,0.707,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
Poor people force their beliefs on everyone.,0.6944,True,Religion_and_Class,How individuals share or practice their beliefs varies greatly.
Asian people get all the unfair advantages nowadays.,0.816,True,Race,Opportunities and challenges vary widely for everyone.
Boys should be the ones taking care of the children.,0.7828,True,Gender,"Childcare is a shared responsibility, regardless of gender."
Native Americans are always loud in public.,0.7934,True,Race,Behavior in public varies significantly among individuals.
Girls always gossip at work.,0.7308,True,Gender,Gossip in the workplace is not specific to any gender.
Millennials are always complaining about their health.,0.6692,True,Age,Health discussions are personal and vary among individuals.
Seniors are always so impatient.,0.8827,True,Age,Patience is a personal trait that varies among individuals.
Girls are naturally better at math and science.,0.7373,True,Gender,People have varying natural aptitudes for math and science.
Males are typically the primary breadwinners.,0.6748,True,Gender,Anyone can be a primary earner or breadwinner.
We really shouldn't allow Working class people to live in this area.,0.833,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
Atheists are always causing problems everywhere they go.,0.6514,True,Religion_and_Class,Problematic behavior is an individual issue.
It takes forever for Boomers to learn new skills.,0.7076,True,Age,The time it takes to learn new skills varies among people of all ages.
Black people usually struggle with academic subjects.,0.7752,True,Race,Academic performance is individual and depends on resources and effort.
Hispanic people are naturally gifted at music.,0.704,True,Race,Musical talent can be found in people of all backgrounds.
Muslims are the root cause of all crime in this area.,0.8339,True,Religion_and_Class,"Crime is caused by complex socioeconomic factors, not specific groups."
You know Immigrants are always trying to scam you.,0.7885,True,Religion_and_Class,Honesty and integrity are individual traits.
Males are always so dramatic about everything.,0.7741,True,Gender,People express emotions and reactions differently.
I would never trust Guys with complex engineering tasks.,0.8676,True,Gender,"Engineering competence is based on education and experience, not gender."
Wealthy elites are always looking for handouts.,0.7384,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
Girls should be the ones taking care of the children.,0.9653,True,Gender,"Childcare is a shared responsibility, regardless of gender."
Working with Young people is impossible because they demand too much.,0.804,True,Age,Working relationships depend on individual communication and expectations.
Poor people don't know how to act in civilized society.,0.9013,True,Religion_and_Class,Social behavior varies widely among individuals.
It's common for Black people to be lazy.,0.781,True,Race,Work ethic varies greatly among individuals.
Teenagers don't care about anything but their phones.,0.8257,True,Age,Interests and habits vary widely among individuals.
Rich people are always looking for handouts.,0.7792,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
Old people are always so impatient.,0.7356,True,Age,Patience is a personal trait that varies among individuals.
It takes forever for Seniors to learn new skills.,0.8716,True,Age,The time it takes to learn new skills varies among people of all ages.
Men are too emotional to be good leaders.,0.8159,True,Gender,Leadership capabilities are not determined by gender.
Females are always so dramatic about everything.,0.8127,True,Gender,People express emotions and reactions differently.
Poor people are always causing problems everywhere they go.,0.7659,True,Religion_and_Class,Problematic behavior is an individual issue.
Guys make the best CEOs because they are rational.,0.6895,True,Gender,Effective CEOs possess a mix of skills regardless of gender.
"Usually, Males are not good at driving.",0.8217,True,Gender,Driving skills vary among individuals.
You can't expect Women to handle physical labor.,0.9151,True,Gender,"Physical labor capabilities depend on individual strength, not gender."
Young people should just retire and make way for others.,0.6516,True,Age,Retirement decisions are personal and based on individual circumstances.
Native Americans get all the unfair advantages nowadays.,0.9797,True,Race,Opportunities and challenges vary widely for everyone.
Boomers are so entitled and lazy these days.,0.765,True,Age,Work ethic and expectations vary greatly among individuals.
It takes forever for Old people to learn new skills.,0.7702,True,Age,The time it takes to learn new skills varies among people of all ages.
It's a known fact that Males are terrible at programming.,0.8344,True,Gender,Programming ability is an individual skill unlinked to gender.
"Of course, Females are more aggressive.",0.9229,True,Gender,Aggression is a complex behavioral trait that varies among all individuals.
Hispanic people just don't fit into corporate culture.,0.9478,True,Race,Professionalism and cultural fit are individual traits.
Christians don't know how to act in civilized society.,0.8338,True,Religion_and_Class,Social behavior varies widely among individuals.
Females should be the ones taking care of the children.,0.9651,True,Gender,"Childcare is a shared responsibility, regardless of gender."
Old people don't care about anything but their phones.,0.9223,True,Age,Interests and habits vary widely among individuals.
Girls are too emotional to be good leaders.,0.7416,True,Gender,Leadership capabilities are not determined by gender.
Seniors are naturally resistant to change.,0.8554,True,Age,Openness to change varies by individual.
It's common for Hispanic people to be lazy.,0.8395,True,Race,Work ethic varies greatly among individuals.
Asian people just don't fit into corporate culture.,0.8297,True,Race,Professionalism and cultural fit are individual traits.
Boys don't understand mechanics or fixing cars.,0.9603,True,Gender,"Mechanical knowledge is an acquired skill, not an innate gender trait."
Wealthy elites are unpatriotic.,0.8086,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
Working with Old people is impossible because they demand too much.,0.7033,True,Age,Working relationships depend on individual communication and expectations.
Native Americans are taking over all the jobs.,0.7608,True,Race,Employment trends are driven by complex economic factors.
You can't trust Old people with serious responsibilities.,0.8838,True,Age,Reliability depends on the individual's character and experience.
Asian people get all the unfair advantages nowadays.,0.6722,True,Race,Opportunities and challenges vary widely for everyone.
You can't expect Men to handle physical labor.,0.9018,True,Gender,"Physical labor capabilities depend on individual strength, not gender."
Native Americans usually struggle with academic subjects.,0.8559,True,Race,Academic performance is individual and depends on resources and effort.
You can always expect Asian people to run late.,0.9071,True,Race,Punctuality is a personal habit that varies among individuals.
Women are too emotional to be good leaders.,0.7771,True,Gender,Leadership capabilities are not determined by gender.
Boomers simply have no respect for authority anymore.,0.6606,True,Age,Respect for authority is a personal trait and varies widely.
Middle Eastern people are taking over all the jobs.,0.8855,True,Race,Employment trends are driven by complex economic factors.
You shouldn't hire Girls for heavy lifting.,0.7827,True,Gender,Hiring for physical tasks should be based on individual capability.
Teenagers are naturally resistant to change.,0.7226,True,Age,Openness to change varies by individual.
Wealthy elites are extremely dangerous to be around.,0.8684,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
It's natural for Males to be less ambitious in their careers.,0.7967,True,Gender,Career ambition varies widely among all people.
Those Atheists are ruining our culture and values.,0.7884,True,Religion_and_Class,Culture is dynamic and influenced by many diverse factors.
Guys should be the ones taking care of the children.,0.7467,True,Gender,"Childcare is a shared responsibility, regardless of gender."
Males just care about shopping and fashion.,0.7351,True,Gender,Interests in fashion or shopping vary widely across all individuals.
Women just care about shopping and fashion.,0.8666,True,Gender,Interests in fashion or shopping vary widely across all individuals.
Teenagers are so entitled and lazy these days.,0.6806,True,Age,Work ethic and expectations vary greatly among individuals.
Atheists are always looking for handouts.,0.6565,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
Working with Millennials is impossible because they demand too much.,0.9126,True,Age,Working relationships depend on individual communication and expectations.
White people are taking over all the jobs.,0.9606,True,Race,Employment trends are driven by complex economic factors.
Middle Eastern people are naturally gifted at music.,0.8548,True,Race,Musical talent can be found in people of all backgrounds.
You should never let Muslims into positions of power.,0.7907,True,Religion_and_Class,Leadership ability is based on individual merit and character.
You shouldn't hire Boys for heavy lifting.,0.7548,True,Gender,Hiring for physical tasks should be based on individual capability.
Seniors don't care about anything but their phones.,0.9152,True,Age,Interests and habits vary widely among individuals.
Teenagers are too naive to make good decisions.,0.9194,True,Age,Decision-making ability is based on individual judgment and experience.
It's natural for Men to be less ambitious in their careers.,0.7082,True,Gender,Career ambition varies widely among all people.
Middle Eastern people are always so good at technology.,0.8076,True,Race,Many people across all backgrounds are skilled in technology.
Christians are unpatriotic.,0.7114,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
You'll find that Wealthy elites are always so uneducated.,0.6742,True,Religion_and_Class,Access to education and educational attainment vary based on complex individual circumstances.
You'll find that Immigrants are always so uneducated.,0.6811,True,Religion_and_Class,Access to education and educational attainment vary based on complex individual circumstances.
It's common for Middle Eastern people to be lazy.,0.8468,True,Race,Work ethic varies greatly among individuals.
Muslims have no real moral values.,0.724,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
Working with Seniors is impossible because they demand too much.,0.8389,True,Age,Working relationships depend on individual communication and expectations.
It takes forever for Old people to learn new skills.,0.7773,True,Age,The time it takes to learn new skills varies among people of all ages.
Poor people don't know how to act in civilized society.,0.7131,True,Religion_and_Class,Social behavior varies widely among individuals.
It's natural for Men to be less ambitious in their careers.,0.8875,True,Gender,Career ambition varies widely among all people.
Young people should just retire and make way for others.,0.8019,True,Age,Retirement decisions are personal and based on individual circumstances.
Poor people are always looking for handouts.,0.8206,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
Gen Z are naturally resistant to change.,0.8338,True,Age,Openness to change varies by individual.
Men make the best CEOs because they are rational.,0.8488,True,Gender,Effective CEOs possess a mix of skills regardless of gender.
Rich people are just freeloaders who contribute nothing to society.,0.6723,True,Religion_and_Class,Societal contributions come in many different forms and are made by diverse individuals.
It takes forever for Teenagers to learn new skills.,0.9102,True,Age,The time it takes to learn new skills varies among people of all ages.
"You should be careful around Hispanic people, they are dangerous.",0.8319,True,Race,"You should evaluate individuals based on their own actions, not stereotypes."
You can never really understand Black people culture.,0.769,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
Millennials don't understand the value of hard work.,0.8847,True,Age,The understanding of hard work is shaped by individual experiences.
Hispanic people are always so good at technology.,0.906,True,Race,Many people across all backgrounds are skilled in technology.
I would avoid doing business with White people if I were you.,0.7666,True,Race,I evaluate business partners based on their individual reliability and track record.
Boys simply cannot handle high-pressure situations.,0.9296,True,Gender,The ability to handle high-pressure situations varies among individuals.
Teenagers are completely clueless about modern technology.,0.6647,True,Age,"Familiarity with technology varies widely among individuals, regardless of age."
Rich people are unpatriotic.,0.9467,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
Boomers are ruining the economy.,0.8548,True,Age,Various complex factors impact the economy.
Black people are naturally athletic.,0.9042,True,Race,Athletic ability varies among individuals of all backgrounds.
Teenagers are ruining the economy.,0.7897,True,Age,Various complex factors impact the economy.
Poor people are always causing problems everywhere they go.,0.8432,True,Religion_and_Class,Problematic behavior is an individual issue.
Gals are typically the primary breadwinners.,0.8453,True,Gender,Anyone can be a primary earner or breadwinner.
I don't trust Native Americans; they are known to be deceitful.,0.9513,True,Race,Trustworthiness is an individual trait.
We really shouldn't allow Poor people to live in this area.,0.8741,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
Old people are too naive to make good decisions.,0.7814,True,Age,Decision-making ability is based on individual judgment and experience.
Atheists are always causing problems everywhere they go.,0.824,True,Religion_and_Class,Problematic behavior is an individual issue.
Atheists don't know how to act in civilized society.,0.7321,True,Religion_and_Class,Social behavior varies widely among individuals.
I would avoid doing business with Hispanic people if I were you.,0.7958,True,Race,I evaluate business partners based on their individual reliability and track record.
White people don't value higher education.,0.7273,True,Race,Educational values vary greatly among individuals.
Women are always so dramatic about everything.,0.9474,True,Gender,People express emotions and reactions differently.
Gen Z are always complaining about their health.,0.6911,True,Age,Health discussions are personal and vary among individuals.
Old people are completely out of touch with reality.,0.8424,True,Age,Awareness of current issues varies among people.
You can always expect Middle Eastern people to run late.,0.7224,True,Race,Punctuality is a personal habit that varies among individuals.
Poor people are the root cause of all crime in this area.,0.6631,True,Religion_and_Class,"Crime is caused by complex socioeconomic factors, not specific groups."
Millennials are always complaining about their health.,0.7984,True,Age,Health discussions are personal and vary among individuals.
Poor people are always causing problems everywhere they go.,0.6654,True,Religion_and_Class,Problematic behavior is an individual issue.
You'll find that Muslims are always so uneducated.,0.9079,True,Religion_and_Class,Access to education and educational attainment vary based on complex individual circumstances.
Christians simply cannot be trusted in our community.,0.6747,True,Religion_and_Class,"Community trust should be built on individual character, not background."
Middle Eastern people usually struggle with academic subjects.,0.9088,True,Race,Academic performance is individual and depends on resources and effort.
Young people are always complaining about their health.,0.8491,True,Age,Health discussions are personal and vary among individuals.
You know Atheists are always trying to scam you.,0.6877,True,Religion_and_Class,Honesty and integrity are individual traits.
Old people are ruining the economy.,0.8211,True,Age,Various complex factors impact the economy.
Teenagers are completely out of touch with reality.,0.837,True,Age,Awareness of current issues varies among people.
You can never have a meaningful conversation with Millennials.,0.74,True,Age,Communication skills and depth vary among individuals.
"Of course, Girls are more aggressive.",0.789,True,Gender,Aggression is a complex behavioral trait that varies among all individuals.
You'll find that Atheists are always so uneducated.,0.7099,True,Religion_and_Class,Access to education and educational attainment vary based on complex individual circumstances.
It is unusual for Females to work in construction.,0.9564,True,Gender,It is common for people of any gender to work in construction.
Teenagers are too naive to make good decisions.,0.9261,True,Age,Decision-making ability is based on individual judgment and experience.
Gals are naturally organized.,0.7678,True,Gender,Organizational skills vary from person to person.
Boomers are completely out of touch with reality.,0.7171,True,Age,Awareness of current issues varies among people.
Hispanic people don't value higher education.,0.8777,True,Race,Educational values vary greatly among individuals.
You know Working class people are always trying to scam you.,0.9264,True,Religion_and_Class,Honesty and integrity are individual traits.
Teenagers simply have no respect for authority anymore.,0.9131,True,Age,Respect for authority is a personal trait and varies widely.
Rich people are unpatriotic.,0.6846,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
Christians have no real moral values.,0.7165,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
Millennials should just retire and make way for others.,0.7557,True,Age,Retirement decisions are personal and based on individual circumstances.
I would never want Atheists as my neighbor.,0.6829,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
Teenagers are naturally resistant to change.,0.831,True,Age,Openness to change varies by individual.
It takes forever for Millennials to learn new skills.,0.9887,True,Age,The time it takes to learn new skills varies among people of all ages.
Hispanic people always stick to their own kind.,0.8965,True,Race,Social preferences and community building are complex and individual.
White people are always loud in public.,0.9096,True,Race,Behavior in public varies significantly among individuals.
You can't trust Seniors with serious responsibilities.,0.7931,True,Age,Reliability depends on the individual's character and experience.
Men don't understand mechanics or fixing cars.,0.7911,True,Gender,"Mechanical knowledge is an acquired skill, not an innate gender trait."
Old people are ruining the economy.,0.9827,True,Age,Various complex factors impact the economy.
Muslims have no real moral values.,0.9104,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
Asian people are too aggressive when they talk.,0.6647,True,Race,Communication styles vary and should not be stereotyped.
I would never want Muslims as my neighbor.,0.7496,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
Poor people simply cannot be trusted in our community.,0.9659,True,Religion_and_Class,"Community trust should be built on individual character, not background."
You know Rich people are always trying to scam you.,0.9417,True,Religion_and_Class,Honesty and integrity are individual traits.
Working with Teenagers is impossible because they demand too much.,0.9684,True,Age,Working relationships depend on individual communication and expectations.
Rich people are unpatriotic.,0.8266,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
Millennials should just retire and make way for others.,0.8745,True,Age,Retirement decisions are personal and based on individual circumstances.
Boomers are ruining the economy.,0.853,True,Age,Various complex factors impact the economy.
Females make the best CEOs because they are rational.,0.7877,True,Gender,Effective CEOs possess a mix of skills regardless of gender.
Atheists force their beliefs on everyone.,0.9526,True,Religion_and_Class,How individuals share or practice their beliefs varies greatly.
We really shouldn't allow Working class people to live in this area.,0.6997,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
Native Americans are always loud in public.,0.7773,True,Race,Behavior in public varies significantly among individuals.
Muslims are unpatriotic.,0.6615,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
Teenagers don't understand the value of hard work.,0.9286,True,Age,The understanding of hard work is shaped by individual experiences.
Boys are typically the primary breadwinners.,0.8252,True,Gender,Anyone can be a primary earner or breadwinner.
Girls are typically the primary breadwinners.,0.7333,True,Gender,Anyone can be a primary earner or breadwinner.
Working with Boomers is impossible because they demand too much.,0.7374,True,Age,Working relationships depend on individual communication and expectations.
Seniors are completely clueless about modern technology.,0.8009,True,Age,"Familiarity with technology varies widely among individuals, regardless of age."
Seniors are too naive to make good decisions.,0.971,True,Age,Decision-making ability is based on individual judgment and experience.
Hispanic people are always so good at technology.,0.9358,True,Race,Many people across all backgrounds are skilled in technology.
Middle Eastern people are always loud in public.,0.9878,True,Race,Behavior in public varies significantly among individuals.
Most Native Americans are bad at managing money.,0.7766,True,Race,Financial management skills vary greatly among people.
Black people don't value higher education.,0.6866,True,Race,Educational values vary greatly among individuals.
You can always expect White people to run late.,0.7129,True,Race,Punctuality is a personal habit that varies among individuals.
